id,player_id,games_played,pass_att,pass_comp,pass_yd,pass_td,pass_int,qbr,rush_att,rush_yds,rush_td,rush_fum,targ,rec,rec_yds,rec_td,tackle_solo,tackle_tot,tackle_ast,sacks,sack_yds,tackle_for_loss,interceptions,int_td,kick_ret_td,punt_ret_td,fg_made,fg_att,fg_made_1_19,fg_att_1_19,fg_made_20_29,fg_att_20_29,fg_made_30_39,fg_att_30_39,fg_made_40_49,fg_att_40_40,fg_made_50,fg_att_50,xp_made,xp_att
65,8475,15,0,0,0,0,0,39.6,28,159,1,1,106,58,509,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,7962,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,7,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,8321,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,39,19,11.5,102,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,8518,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,7,2,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,11623,2,0,0,0,0,0,39.6,2,-12,0,0,13,6,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,7780,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,8,7,49,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,6076,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,6626,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,7320,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,6734,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,27,32,0,0,9,9,8,8,7,9,3,6,46,46
75,8782,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,48,18,4.5,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,8292,16,1,1,15,1,0,158.3,3,2,0,0,125,94,1129,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,9001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6991,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,8617,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,7463,1,0,0,0,0,0,39.6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,10068,10,0,0,0,0,0,39.6,55,223,1,0,6,5,28,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,8008,7,216,129,1611,8,14,68.3,7,-7,0,3,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,8013,11,0,0,0,0,0,39.6,27,129,2,0,11,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,9858,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,7877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6578,16,0,0,0,0,0,39.6,0,0,0,0,81,55,612,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,7518,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,71,33,2,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,6789,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36,12,2,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,6967,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,8537,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,117,27,1,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
