id,player_id,team_id,date_started,date_left
213,7723,61,2016-07-01,2016-07-01
214,8376,48,2016-07-01,2016-07-01
215,7928,52,2016-07-01,2016-07-01
216,6889,61,2016-07-01,2016-07-01
217,7162,65,2016-07-01,2016-07-01
218,8249,49,2016-07-01,2016-07-01
219,6127,75,2016-07-01,2016-07-01
220,7622,50,2016-07-01,2016-07-01
221,9771,69,2016-07-01,2016-07-01
222,10040,67,2016-07-01,2016-07-01
223,6879,61,2016-07-01,2016-07-01
224,9772,69,2016-07-01,2016-07-01
225,7724,70,2016-07-01,2016-07-01
226,7554,70,2016-07-01,2016-07-01
227,9973,74,2016-07-01,2016-07-01
228,6443,60,2016-07-01,2016-07-01
229,7388,49,2016-07-01,2016-07-01
230,6128,56,2016-07-01,2016-07-01
231,5976,76,2016-07-01,2016-07-01
232,9740,68,2016-07-01,2016-07-01
233,6639,58,2016-07-01,2016-07-01
234,9569,56,2016-07-01,2016-07-01
235,6613,58,2016-07-01,2016-07-01
236,6900,61,2016-07-01,2016-07-01
237,6378,60,2016-07-01,2016-07-01
238,6289,48,2016-07-01,2016-07-01
239,6719,52,2016-07-01,2016-07-01
240,7916,74,2016-07-01,2016-07-01
241,8424,78,2016-07-01,2016-07-01
242,8245,75,2016-07-01,2016-07-01
243,7987,74,2016-07-01,2016-07-01
244,8398,55,2016-07-01,2016-07-01
245,8078,54,2016-07-01,2016-07-01
246,9927,49,2016-07-01,2016-07-01
247,8607,51,2016-07-01,2016-07-01
248,6522,65,2016-07-01,2016-07-01
249,8690,67,2016-07-01,2016-07-01
250,9773,69,2016-07-01,2016-07-01
251,7797,53,2016-07-01,2016-07-01
252,6202,67,2016-07-01,2016-07-01
253,6020,76,2016-07-01,2016-07-01
254,7321,51,2016-07-01,2016-07-01
255,8031,54,2016-07-01,2016-07-01
256,8399,78,2016-07-01,2016-07-01
257,8361,79,2016-07-01,2016-07-01
258,7275,73,2016-07-01,2016-07-01
259,7668,61,2016-07-01,2016-07-01
260,6257,61,2016-07-01,2016-07-01
261,7988,49,2016-07-01,2016-07-01
262,9719,75,2016-07-01,2016-07-01
263,8140,59,2016-07-01,2016-07-01
264,5955,48,2016-07-01,2016-07-01
265,10067,80,2016-07-01,2016-07-01
266,7636,50,2016-07-01,2016-07-01
267,6730,52,2016-07-01,2016-07-01
268,6720,52,2016-07-01,2016-07-01
269,8323,79,2016-07-01,2016-07-01
270,9871,62,2016-07-01,2016-07-01
271,6506,57,2016-07-01,2016-07-01
272,6228,48,2016-07-01,2016-07-01
273,6069,68,2016-07-01,2016-07-01
274,8188,75,2016-07-01,2016-07-01
275,8821,62,2016-07-01,2016-07-01
276,7063,64,2016-07-01,2016-07-01
277,8111,59,2016-07-01,2016-07-01
278,6926,62,2016-07-01,2016-07-01
279,6274,59,2016-07-01,2016-07-01
280,7519,63,2016-07-01,2016-07-01
281,7144,65,2016-07-01,2016-07-01
282,7654,70,2016-07-01,2016-07-01
283,9819,58,2016-07-01,2016-07-01
284,7418,48,2016-07-01,2016-07-01
285,7530,50,2016-07-01,2016-07-01
286,6367,69,2016-07-01,2016-07-01
287,6027,68,2016-07-01,2016-07-01
288,10014,79,2016-07-01,2016-07-01
289,6097,68,2016-07-01,2016-07-01
290,7609,58,2016-07-01,2016-07-01
291,7815,53,2016-07-01,2016-07-01
292,9574,52,2016-07-01,2016-07-01
293,7251,66,2016-07-01,2016-07-01
294,8788,55,2016-07-01,2016-07-01
295,7287,73,2016-07-01,2016-07-01
296,8627,71,2016-07-01,2016-07-01
297,9972,74,2016-07-01,2016-07-01
298,8487,62,2016-07-01,2016-07-01
299,7656,70,2016-07-01,2016-07-01
300,7929,74,2016-07-01,2016-07-01
301,7345,76,2016-07-01,2016-07-01
302,9691,80,2016-07-01,2016-07-01
303,6599,58,2016-07-01,2016-07-01
304,6880,61,2016-07-01,2016-07-01
305,9801,57,2016-07-01,2016-07-01
306,9750,56,2016-07-01,2016-07-01
307,11616,80,2016-07-01,2016-07-01
308,8731,55,2016-07-01,2016-07-01
309,7052,64,2016-07-01,2016-07-01
310,11378,74,2016-07-01,2016-07-01
311,8052,54,2016-07-01,2016-07-01
312,8713,67,2016-07-01,2016-07-01
313,8344,79,2016-07-01,2016-07-01
314,7930,74,2016-07-01,2016-07-01
315,10049,55,2016-07-01,2016-07-01
316,6690,52,2016-07-01,2016-07-01
317,6691,52,2016-07-01,2016-07-01
318,9946,70,2016-07-01,2016-07-01
319,7503,63,2016-07-01,2016-07-01
320,7047,72,2016-07-01,2016-07-01
321,6916,62,2016-07-01,2016-07-01
322,7896,65,2016-07-01,2016-07-01
323,8450,78,2016-07-01,2016-07-01
324,6997,62,2016-07-01,2016-07-01
325,10033,71,2016-07-01,2016-07-01
326,8744,55,2016-07-01,2016-07-01
327,6558,58,2016-07-01,2016-07-01
328,7748,53,2016-07-01,2016-07-01
329,8467,80,2016-07-01,2016-07-01
330,8053,54,2016-07-01,2016-07-01
331,7064,64,2016-07-01,2016-07-01
332,6376,60,2016-07-01,2016-07-01
333,7261,66,2016-07-01,2016-07-01
334,6464,57,2016-07-01,2016-07-01
335,8175,59,2016-07-01,2016-07-01
336,7272,54,2016-07-01,2016-07-01
337,6959,62,2016-07-01,2016-07-01
338,9724,55,2016-07-01,2016-07-01
339,6614,57,2016-07-01,2016-07-01
340,6275,48,2016-07-01,2016-07-01
341,6258,48,2016-07-01,2016-07-01
342,7737,53,2016-07-01,2016-07-01
343,8608,71,2016-07-01,2016-07-01
344,8260,78,2016-07-01,2016-07-01
345,8539,80,2016-07-01,2016-07-01
346,7887,58,2016-07-01,2016-07-01
347,7749,75,2016-07-01,2016-07-01
348,7851,51,2016-07-01,2016-07-01
349,7276,73,2016-07-01,2016-07-01
350,8377,78,2016-07-01,2016-07-01
351,7228,52,2016-07-01,2016-07-01
352,9992,59,2016-07-01,2016-07-01
353,6348,69,2016-07-01,2016-07-01
354,6791,72,2016-07-01,2016-07-01
355,9872,62,2016-07-01,2016-07-01
356,8401,55,2016-07-01,2016-07-01
357,7165,65,2016-07-01,2016-07-01
358,7439,56,2016-07-01,2016-07-01
359,7694,70,2016-07-01,2016-07-01
360,8460,78,2016-07-01,2016-07-01
361,6523,57,2016-07-01,2016-07-01
362,9903,66,2016-07-01,2016-07-01
363,7837,51,2016-07-01,2016-07-01
364,8589,69,2016-07-01,2016-07-01
365,8896,64,2016-07-01,2016-07-01
366,6534,57,2016-07-01,2016-07-01
367,7065,64,2016-07-01,2016-07-01
368,7574,72,2016-07-01,2016-07-01
369,6627,75,2016-07-01,2016-07-01
370,9820,58,2016-07-01,2016-07-01
371,7559,50,2016-07-01,2016-07-01
